################################# GMF factor8 ####################################
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 8 --regs [0,0] --num_neg 4 --lr 0.001 --learner Adam --verbose 1 --out 1
Init: HR = 0.1041, NDCG = 0.0463         [4.0 s]
################################# NeuMF w/ pretrained factor16 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano
python NeuMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 16 --layers [32,64,32,16] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1 --mf_pretrain Pretrain/ml-1m_GMF_16_1736387458.h5 --mlp_pretrain Pretrain/ml-1m_MLP_[32,64,32,16]_1736398368.h5

Load pretrained GMF (Pretrain/ml-1m_GMF_16_1736387458.h5) and MLP (Pretrain/ml-1m_MLP_[32,64,32,16]_1736398368.h5) models done.
Init: HR = 0.6992, NDCG = 0.4181
Iteration 0 [51.9 s]: HR = 0.7010, NDCG = 0.4204, loss = 0.2314 [1.7 s]
Iteration 1 [38.3 s]: HR = 0.7013, NDCG = 0.4223, loss = 0.2300 [1.7 s]
Iteration 2 [38.3 s]: HR = 0.6992, NDCG = 0.4194, loss = 0.2288 [1.7 s]
Iteration 3 [38.5 s]: HR = 0.6982, NDCG = 0.4195, loss = 0.2277 [1.7 s]
Iteration 4 [39.1 s]: HR = 0.6947, NDCG = 0.4179, loss = 0.2273 [1.8 s]
Iteration 5 [38.8 s]: HR = 0.6987, NDCG = 0.4177, loss = 0.2264 [1.7 s]
Iteration 6 [38.2 s]: HR = 0.6947, NDCG = 0.4168, loss = 0.2257 [1.7 s]
Iteration 7 [38.2 s]: HR = 0.7025, NDCG = 0.4218, loss = 0.2252 [1.7 s]
Iteration 8 [38.1 s]: HR = 0.6998, NDCG = 0.4176, loss = 0.2244 [1.7 s]
Iteration 9 [38.2 s]: HR = 0.6998, NDCG = 0.4201, loss = 0.2241 [1.7 s]
Iteration 10 [38.3 s]: HR = 0.6959, NDCG = 0.4169, loss = 0.2236 [1.7 s]
Iteration 11 [37.9 s]: HR = 0.6980, NDCG = 0.4181, loss = 0.2228 [1.7 s]
Iteration 12 [38.1 s]: HR = 0.6944, NDCG = 0.4185, loss = 0.2223 [1.7 s]
Iteration 13 [38.1 s]: HR = 0.6904, NDCG = 0.4133, loss = 0.2219 [1.7 s]
Iteration 14 [37.9 s]: HR = 0.6977, NDCG = 0.4165, loss = 0.2214 [1.8 s]
Iteration 15 [37.8 s]: HR = 0.6935, NDCG = 0.4156, loss = 0.2211 [1.8 s]
Iteration 16 [37.9 s]: HR = 0.6892, NDCG = 0.4146, loss = 0.2209 [1.8 s]
Iteration 17 [37.8 s]: HR = 0.6980, NDCG = 0.4188, loss = 0.2206 [1.8 s]
Iteration 18 [38.0 s]: HR = 0.6882, NDCG = 0.4145, loss = 0.2202 [1.7 s]
Iteration 19 [38.3 s]: HR = 0.6930, NDCG = 0.4147, loss = 0.2202 [1.8 s]
Iteration 20 [38.3 s]: HR = 0.6889, NDCG = 0.4165, loss = 0.2198 [1.8 s]
Iteration 21 [38.5 s]: HR = 0.6912, NDCG = 0.4159, loss = 0.2197 [1.7 s]
Iteration 22 [39.0 s]: HR = 0.6944, NDCG = 0.4162, loss = 0.2191 [1.9 s]
Iteration 23 [41.0 s]: HR = 0.6960, NDCG = 0.4165, loss = 0.2191 [1.8 s]
Iteration 24 [41.6 s]: HR = 0.6907, NDCG = 0.4169, loss = 0.2191 [1.9 s]
Iteration 25 [42.0 s]: HR = 0.6887, NDCG = 0.4129, loss = 0.2189 [2.1 s]
Iteration 26 [40.8 s]: HR = 0.6917, NDCG = 0.4148, loss = 0.2185 [1.8 s]
Iteration 27 [40.9 s]: HR = 0.6884, NDCG = 0.4137, loss = 0.2185 [1.7 s]
Iteration 28 [41.1 s]: HR = 0.6932, NDCG = 0.4145, loss = 0.2182 [1.9 s]
Iteration 29 [41.2 s]: HR = 0.6889, NDCG = 0.4116, loss = 0.2180 [1.8 s]
Iteration 30 [41.5 s]: HR = 0.6906, NDCG = 0.4132, loss = 0.2176 [1.7 s]
Iteration 31 [41.4 s]: HR = 0.6891, NDCG = 0.4108, loss = 0.2176 [1.9 s]
Iteration 32 [42.1 s]: HR = 0.6876, NDCG = 0.4130, loss = 0.2177 [1.8 s]
Iteration 33 [41.8 s]: HR = 0.6877, NDCG = 0.4113, loss = 0.2177 [1.7 s]
Iteration 34 [41.7 s]: HR = 0.6909, NDCG = 0.4139, loss = 0.2174 [1.9 s]
Iteration 35 [42.1 s]: HR = 0.6937, NDCG = 0.4114, loss = 0.2172 [1.8 s]
Iteration 36 [41.0 s]: HR = 0.6914, NDCG = 0.4113, loss = 0.2170 [1.7 s]
Iteration 37 [41.1 s]: HR = 0.6886, NDCG = 0.4105, loss = 0.2170 [1.8 s]
Iteration 38 [41.5 s]: HR = 0.6873, NDCG = 0.4123, loss = 0.2168 [1.8 s]
Iteration 39 [41.9 s]: HR = 0.6892, NDCG = 0.4132, loss = 0.2168 [1.7 s]
Iteration 40 [41.1 s]: HR = 0.6848, NDCG = 0.4099, loss = 0.2166 [1.8 s]
Iteration 41 [41.9 s]: HR = 0.6876, NDCG = 0.4142, loss = 0.2166 [1.8 s]
Iteration 42 [41.1 s]: HR = 0.6866, NDCG = 0.4123, loss = 0.2163 [1.8 s]
Iteration 43 [40.8 s]: HR = 0.6866, NDCG = 0.4126, loss = 0.2165 [1.8 s]
Iteration 44 [40.7 s]: HR = 0.6831, NDCG = 0.4133, loss = 0.2162 [2.1 s]
Iteration 45 [41.0 s]: HR = 0.6801, NDCG = 0.4081, loss = 0.2163 [1.8 s]
Iteration 46 [42.0 s]: HR = 0.6838, NDCG = 0.4120, loss = 0.2161 [1.8 s]
Iteration 47 [41.3 s]: HR = 0.6798, NDCG = 0.4082, loss = 0.2163 [1.9 s]
Iteration 48 [38.9 s]: HR = 0.6849, NDCG = 0.4096, loss = 0.2160 [1.8 s]
Iteration 49 [39.5 s]: HR = 0.6901, NDCG = 0.4116, loss = 0.2160 [1.9 s]
End. Best Iteration 7:  HR = 0.7025, NDCG = 0.4218.
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_16_[32,64,32,16]_1736420881.h5

################################# NeuMF w/ pretrained factor32 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano
python NeuMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 32 --layers [32,64,16,32] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1 --mf_pretrain Pretrain/ml-1m_GMF_32_1736388673.h5 --mlp_pretrain Pretrain/ml-1m_MLP_[32,64,16,32]_1736414507.h5
Load pretrained GMF (Pretrain/ml-1m_GMF_32_1736388673.h5) and MLP (Pretrain/ml-1m_MLP_[32,64,16,32]_1736414507.h5) models done.
Init: HR = 0.7169, NDCG = 0.4391
Iteration 0 [160.8 s]: HR = 0.7119, NDCG = 0.4341, loss = 0.2109 [1.8 s]
Iteration 1 [129.5 s]: HR = 0.7060, NDCG = 0.4295, loss = 0.2092 [1.8 s]
Iteration 2 [146.7 s]: HR = 0.7066, NDCG = 0.4318, loss = 0.2081 [1.8 s]
Iteration 3 [134.3 s]: HR = 0.7060, NDCG = 0.4310, loss = 0.2073 [1.8 s]
Iteration 4 [121.4 s]: HR = 0.7025, NDCG = 0.4277, loss = 0.2063 [1.8 s]
Iteration 5 [124.5 s]: HR = 0.7013, NDCG = 0.4270, loss = 0.2057 [1.8 s]
Iteration 6 [120.5 s]: HR = 0.6990, NDCG = 0.4277, loss = 0.2048 [1.8 s]
Iteration 7 [145.0 s]: HR = 0.7030, NDCG = 0.4280, loss = 0.2043 [2.0 s]
Iteration 8 [125.3 s]: HR = 0.7015, NDCG = 0.4273, loss = 0.2038 [1.8 s]
Iteration 9 [126.0 s]: HR = 0.7005, NDCG = 0.4248, loss = 0.2034 [1.8 s]
Iteration 10 [110.6 s]: HR = 0.6970, NDCG = 0.4236, loss = 0.2032 [1.8 s]
Iteration 11 [137.6 s]: HR = 0.6980, NDCG = 0.4274, loss = 0.2027 [1.8 s]
Iteration 12 [136.0 s]: HR = 0.6978, NDCG = 0.4256, loss = 0.2022 [1.8 s]
Iteration 13 [136.4 s]: HR = 0.6983, NDCG = 0.4233, loss = 0.2018 [1.8 s]
Iteration 14 [143.0 s]: HR = 0.6992, NDCG = 0.4260, loss = 0.2016 [1.8 s]
Iteration 15 [142.2 s]: HR = 0.6980, NDCG = 0.4237, loss = 0.2014 [1.8 s]
Iteration 16 [122.5 s]: HR = 0.6939, NDCG = 0.4214, loss = 0.2011 [1.8 s]
Iteration 17 [119.5 s]: HR = 0.6982, NDCG = 0.4253, loss = 0.2010 [1.8 s]
Iteration 18 [119.4 s]: HR = 0.6985, NDCG = 0.4265, loss = 0.2006 [1.8 s]
Iteration 19 [131.5 s]: HR = 0.7026, NDCG = 0.4263, loss = 0.2006 [2.0 s]
Iteration 20 [271.9 s]: HR = 0.6955, NDCG = 0.4223, loss = 0.2003 [2.2 s]
Iteration 21 [252.8 s]: HR = 0.7033, NDCG = 0.4261, loss = 0.2002 [2.5 s]
Iteration 22 [230.2 s]: HR = 0.6942, NDCG = 0.4206, loss = 0.2000 [2.0 s]
Iteration 23 [166.9 s]: HR = 0.7012, NDCG = 0.4257, loss = 0.1997 [2.3 s]
Iteration 24 [173.9 s]: HR = 0.6922, NDCG = 0.4218, loss = 0.1993 [1.9 s]
Iteration 25 [157.5 s]: HR = 0.7038, NDCG = 0.4257, loss = 0.1996 [2.0 s]
Iteration 26 [175.6 s]: HR = 0.6972, NDCG = 0.4205, loss = 0.1994 [2.0 s]
Iteration 27 [179.4 s]: HR = 0.6932, NDCG = 0.4180, loss = 0.1990 [2.2 s]
Iteration 28 [181.1 s]: HR = 0.6954, NDCG = 0.4223, loss = 0.1988 [1.9 s]
Iteration 29 [182.5 s]: HR = 0.6942, NDCG = 0.4198, loss = 0.1984 [2.0 s]
Iteration 30 [181.0 s]: HR = 0.6985, NDCG = 0.4233, loss = 0.1986 [2.2 s]
Iteration 31 [178.3 s]: HR = 0.6974, NDCG = 0.4211, loss = 0.1984 [1.7 s]
Iteration 32 [114.4 s]: HR = 0.6992, NDCG = 0.4257, loss = 0.1984 [2.0 s]
Iteration 33 [126.8 s]: HR = 0.6944, NDCG = 0.4206, loss = 0.1983 [2.2 s]
Iteration 34 [377.9 s]: HR = 0.6930, NDCG = 0.4215, loss = 0.1978 [1.8 s]
Iteration 35 [154.3 s]: HR = 0.6949, NDCG = 0.4217, loss = 0.1980 [2.0 s]
Iteration 36 [127.9 s]: HR = 0.6993, NDCG = 0.4246, loss = 0.1977 [2.1 s]
Iteration 37 [269.2 s]: HR = 0.6992, NDCG = 0.4250, loss = 0.1978 [2.9 s]
Iteration 38 [170.2 s]: HR = 0.6985, NDCG = 0.4206, loss = 0.1975 [1.9 s]
Iteration 39 [237.3 s]: HR = 0.6940, NDCG = 0.4221, loss = 0.1974 [1.8 s]
Iteration 40 [166.7 s]: HR = 0.6959, NDCG = 0.4192, loss = 0.1973 [2.0 s]
Iteration 41 [180.7 s]: HR = 0.6929, NDCG = 0.4197, loss = 0.1974 [2.1 s]
Iteration 42 [204.6 s]: HR = 0.6993, NDCG = 0.4240, loss = 0.1971 [1.9 s]
Iteration 43 [132.8 s]: HR = 0.6985, NDCG = 0.4242, loss = 0.1965 [1.8 s]
Iteration 44 [254.4 s]: HR = 0.6863, NDCG = 0.4144, loss = 0.1969 [2.3 s]
Iteration 45 [223.3 s]: HR = 0.6960, NDCG = 0.4214, loss = 0.1968 [1.9 s]
Iteration 46 [148.0 s]: HR = 0.6962, NDCG = 0.4196, loss = 0.1963 [2.2 s]
Iteration 47 [137.4 s]: HR = 0.6896, NDCG = 0.4206, loss = 0.1962 [2.3 s]
Iteration 48 [282.5 s]: HR = 0.6911, NDCG = 0.4218, loss = 0.1964 [5.8 s]
Iteration 49 [267.7 s]: HR = 0.6904, NDCG = 0.4165, loss = 0.1963 [6.0 s]
End. Best Iteration -1:  HR = 0.7169, NDCG = 0.4391.
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_32_[32,64,16,32]_1736422959.h5

################################# NeuMF w/ pretrained factor64 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano
python NeuMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 64 --layers [16,32,32,64] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1 --mf_pretrain Pretrain/ml-1m_GMF_64_1736390110.h5 --mlp_pretrain Pretrain/ml-1m_MLP_[16,32,32,64]_1736414010.h5
Init: HR = 0.6940, NDCG = 0.4160
Iteration 0 [376.2 s]: HR = 0.6982, NDCG = 0.4203, loss = 0.2182 [16.7 s]
Iteration 1 [354.3 s]: HR = 0.6922, NDCG = 0.4188, loss = 0.2098 [31.4 s]
Iteration 2 [319.7 s]: HR = 0.6957, NDCG = 0.4214, loss = 0.2039 [9.1 s]
Iteration 3 [208.7 s]: HR = 0.6955, NDCG = 0.4228, loss = 0.1994 [7.3 s]
Iteration 4 [271.4 s]: HR = 0.6901, NDCG = 0.4192, loss = 0.1963 [12.9 s]
Iteration 5 [300.3 s]: HR = 0.6854, NDCG = 0.4161, loss = 0.1936 [15.1 s]
Iteration 6 [402.5 s]: HR = 0.6909, NDCG = 0.4226, loss = 0.1914 [10.4 s]
Iteration 7 [392.7 s]: HR = 0.6866, NDCG = 0.4175, loss = 0.1895 [17.9 s]
Iteration 8 [395.6 s]: HR = 0.6911, NDCG = 0.4206, loss = 0.1877 [16.2 s]
Iteration 9 [376.6 s]: HR = 0.6877, NDCG = 0.4198, loss = 0.1864 [20.9 s]
Iteration 10 [433.8 s]: HR = 0.6879, NDCG = 0.4189, loss = 0.1853 [11.4 s]
Iteration 11 [427.4 s]: HR = 0.6902, NDCG = 0.4195, loss = 0.1839 [13.0 s]
Iteration 12 [365.9 s]: HR = 0.6869, NDCG = 0.4168, loss = 0.1829 [14.2 s]
Iteration 13 [388.0 s]: HR = 0.6806, NDCG = 0.4152, loss = 0.1822 [18.0 s]
Iteration 14 [360.5 s]: HR = 0.6851, NDCG = 0.4185, loss = 0.1814 [6.9 s]
Iteration 15 [377.6 s]: HR = 0.6821, NDCG = 0.4170, loss = 0.1808 [14.4 s]
Iteration 16 [387.4 s]: HR = 0.6859, NDCG = 0.4192, loss = 0.1802 [18.8 s]
Iteration 17 [395.0 s]: HR = 0.6836, NDCG = 0.4116, loss = 0.1796 [15.1 s]
Iteration 18 [398.7 s]: HR = 0.6843, NDCG = 0.4162, loss = 0.1790 [17.5 s]
Iteration 19 [412.7 s]: HR = 0.6848, NDCG = 0.4149, loss = 0.1783 [14.2 s]
Iteration 20 [370.2 s]: HR = 0.6861, NDCG = 0.4158, loss = 0.1777 [18.1 s]
Iteration 21 [364.9 s]: HR = 0.6783, NDCG = 0.4095, loss = 0.1773 [16.4 s]
Iteration 22 [356.1 s]: HR = 0.6823, NDCG = 0.4149, loss = 0.1769 [19.0 s]
Iteration 23 [422.4 s]: HR = 0.6818, NDCG = 0.4116, loss = 0.1768 [16.0 s]
Iteration 24 [433.3 s]: HR = 0.6806, NDCG = 0.4115, loss = 0.1761 [11.0 s]
Iteration 25 [349.0 s]: HR = 0.6772, NDCG = 0.4063, loss = 0.1757 [12.2 s]
Iteration 26 [399.8 s]: HR = 0.6820, NDCG = 0.4114, loss = 0.1753 [24.7 s]
Iteration 27 [357.2 s]: HR = 0.6849, NDCG = 0.4128, loss = 0.1747 [14.9 s]
Iteration 28 [406.4 s]: HR = 0.6859, NDCG = 0.4118, loss = 0.1747 [13.6 s]
Iteration 29 [525.7 s]: HR = 0.6873, NDCG = 0.4139, loss = 0.1741 [18.0 s]
Iteration 30 [336.5 s]: HR = 0.6834, NDCG = 0.4117, loss = 0.1737 [34.5 s]
Iteration 31 [499.1 s]: HR = 0.6808, NDCG = 0.4069, loss = 0.1736 [22.2 s]
Iteration 32 [505.8 s]: HR = 0.6861, NDCG = 0.4136, loss = 0.1734 [21.1 s]
Iteration 33 [553.3 s]: HR = 0.6826, NDCG = 0.4115, loss = 0.1732 [29.3 s]
Iteration 34 [380.4 s]: HR = 0.6825, NDCG = 0.4111, loss = 0.1729 [24.9 s]
Iteration 35 [436.3 s]: HR = 0.6815, NDCG = 0.4091, loss = 0.1726 [18.2 s]
Iteration 36 [452.7 s]: HR = 0.6839, NDCG = 0.4120, loss = 0.1724 [16.2 s]
Iteration 37 [430.7 s]: HR = 0.6815, NDCG = 0.4114, loss = 0.1719 [18.4 s]
Iteration 38 [481.6 s]: HR = 0.6823, NDCG = 0.4154, loss = 0.1717 [20.7 s]
Iteration 39 [444.5 s]: HR = 0.6773, NDCG = 0.4135, loss = 0.1717 [19.7 s]
Iteration 40 [461.3 s]: HR = 0.6821, NDCG = 0.4102, loss = 0.1716 [16.6 s]
Iteration 41 [456.1 s]: HR = 0.6820, NDCG = 0.4119, loss = 0.1714 [20.1 s]
Iteration 42 [468.1 s]: HR = 0.6776, NDCG = 0.4121, loss = 0.1707 [22.7 s]
Iteration 43 [507.9 s]: HR = 0.6788, NDCG = 0.4090, loss = 0.1710 [14.3 s]
Iteration 44 [410.9 s]: HR = 0.6755, NDCG = 0.4063, loss = 0.1708 [14.9 s]
Iteration 45 [432.3 s]: HR = 0.6775, NDCG = 0.4093, loss = 0.1702 [16.6 s]
Iteration 46 [446.6 s]: HR = 0.6795, NDCG = 0.4114, loss = 0.1701 [22.4 s]
Iteration 47 [435.9 s]: HR = 0.6758, NDCG = 0.4060, loss = 0.1699 [20.0 s]
Iteration 48 [448.9 s]: HR = 0.6836, NDCG = 0.4127, loss = 0.1698 [10.5 s]
Iteration 49 [483.0 s]: HR = 0.6747, NDCG = 0.4082, loss = 0.1697 [18.7 s]
End. Best Iteration 0:  HR = 0.6982, NDCG = 0.4203.
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_64_[16,32,32,64]_1736432180.h5

#improvement test
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 64 --regs [0,0] --num_neg 8 --lr 0.002 --learner Adam --verbose 1 --out 1
None
Init: HR = 0.0965, NDCG = 0.0440         [4.2 s]
Iteration 0 [471.3 s]: HR = 0.6202, NDCG = 0.3560, loss = 0.2273 [4.0 s]
Iteration 1 [511.1 s]: HR = 0.6568, NDCG = 0.3854, loss = 0.1942 [6.5 s]
Iteration 2 [532.5 s]: HR = 0.6760, NDCG = 0.4004, loss = 0.1843 [6.6 s]
Iteration 3 [573.7 s]: HR = 0.6829, NDCG = 0.4077, loss = 0.1760 [7.3 s]
Iteration 4 [520.2 s]: HR = 0.6848, NDCG = 0.4127, loss = 0.1690 [7.4 s]
Iteration 5 [494.0 s]: HR = 0.6947, NDCG = 0.4229, loss = 0.1639 [4.1 s]
Iteration 6 [536.1 s]: HR = 0.6992, NDCG = 0.4263, loss = 0.1602 [6.4 s]
Iteration 7 [549.5 s]: HR = 0.6983, NDCG = 0.4281, loss = 0.1574 [4.3 s]
Iteration 8 [442.9 s]: HR = 0.6987, NDCG = 0.4290, loss = 0.1553 [5.0 s]
Iteration 9 [524.8 s]: HR = 0.6962, NDCG = 0.4294, loss = 0.1535 [8.1 s]
Iteration 10 [558.1 s]: HR = 0.6960, NDCG = 0.4304, loss = 0.1525 [5.7 s]
Iteration 11 [519.4 s]: HR = 0.6990, NDCG = 0.4309, loss = 0.1515 [4.8 s]
Iteration 12 [464.9 s]: HR = 0.7041, NDCG = 0.4327, loss = 0.1509 [4.4 s]
Iteration 13 [503.8 s]: HR = 0.7038, NDCG = 0.4329, loss = 0.1503 [4.2 s]
Iteration 14 [513.6 s]: HR = 0.6975, NDCG = 0.4317, loss = 0.1498 [5.2 s]
Iteration 15 [527.3 s]: HR = 0.7040, NDCG = 0.4348, loss = 0.1496 [5.4 s]
Iteration 16 [430.8 s]: HR = 0.7036, NDCG = 0.4346, loss = 0.1492 [4.4 s]
Iteration 17 [557.2 s]: HR = 0.6977, NDCG = 0.4321, loss = 0.1490 [4.8 s]
Iteration 18 [549.4 s]: HR = 0.6955, NDCG = 0.4279, loss = 0.1487 [4.7 s]
Iteration 19 [634.1 s]: HR = 0.6935, NDCG = 0.4325, loss = 0.1490 [5.0 s]
Iteration 20 [566.7 s]: HR = 0.6974, NDCG = 0.4299, loss = 0.1487 [6.0 s]
Iteration 21 [698.1 s]: HR = 0.6974, NDCG = 0.4304, loss = 0.1489 [6.8 s]
Iteration 22 [689.0 s]: HR = 0.6921, NDCG = 0.4294, loss = 0.1489 [5.3 s]
Iteration 23 [534.7 s]: HR = 0.6962, NDCG = 0.4288, loss = 0.1488 [5.7 s]
Iteration 24 [559.8 s]: HR = 0.6914, NDCG = 0.4263, loss = 0.1490 [5.2 s]
Iteration 25 [544.0 s]: HR = 0.6975, NDCG = 0.4316, loss = 0.1493 [7.2 s]
Iteration 26 [609.0 s]: HR = 0.7002, NDCG = 0.4327, loss = 0.1493 [1.7 s]
Iteration 27 [603.9 s]: HR = 0.6995, NDCG = 0.4331, loss = 0.1496 [6.2 s]
Iteration 28 [594.1 s]: HR = 0.6977, NDCG = 0.4315, loss = 0.1496 [5.4 s]
Iteration 29 [593.1 s]: HR = 0.7088, NDCG = 0.4407, loss = 0.1501 [5.6 s]
Iteration 30 [590.6 s]: HR = 0.7002, NDCG = 0.4318, loss = 0.1502 [6.9 s]
Iteration 31 [521.2 s]: HR = 0.6972, NDCG = 0.4314, loss = 0.1504 [6.0 s]
Iteration 32 [535.9 s]: HR = 0.6969, NDCG = 0.4247, loss = 0.1508 [6.1 s]
Iteration 33 [562.2 s]: HR = 0.6998, NDCG = 0.4289, loss = 0.1508 [5.8 s]
Iteration 34 [582.3 s]: HR = 0.6955, NDCG = 0.4312, loss = 0.1510 [5.9 s]
Iteration 35 [550.7 s]: HR = 0.6921, NDCG = 0.4304, loss = 0.1515 [2.5 s]
Iteration 36 [289.5 s]: HR = 0.6955, NDCG = 0.4298, loss = 0.1515 [1.9 s]
Iteration 37 [348.1 s]: HR = 0.7026, NDCG = 0.4384, loss = 0.1518 [2.0 s]
Iteration 38 [270.1 s]: HR = 0.6965, NDCG = 0.4312, loss = 0.1521 [1.6 s]
Iteration 39 [312.4 s]: HR = 0.6998, NDCG = 0.4350, loss = 0.1526 [1.5 s]
Iteration 40 [339.7 s]: HR = 0.6930, NDCG = 0.4274, loss = 0.1529 [1.6 s]
Iteration 41 [308.0 s]: HR = 0.7063, NDCG = 0.4332, loss = 0.1528 [1.6 s]
Iteration 42 [302.4 s]: HR = 0.6924, NDCG = 0.4306, loss = 0.1535 [2.0 s]
Iteration 43 [275.1 s]: HR = 0.6939, NDCG = 0.4308, loss = 0.1537 [1.6 s]
Iteration 44 [294.4 s]: HR = 0.6921, NDCG = 0.4295, loss = 0.1539 [1.6 s]
Iteration 45 [316.1 s]: HR = 0.6935, NDCG = 0.4324, loss = 0.1543 [2.0 s]
Iteration 46 [292.0 s]: HR = 0.6873, NDCG = 0.4260, loss = 0.1545 [1.5 s]
Iteration 47 [302.7 s]: HR = 0.6950, NDCG = 0.4323, loss = 0.1548 [2.1 s]
Iteration 48 [302.0 s]: HR = 0.6975, NDCG = 0.4336, loss = 0.1554 [1.7 s]
Iteration 49 [299.8 s]: HR = 0.6972, NDCG = 0.4293, loss = 0.1556 [1.6 s]
End. Best Iteration 29:  HR = 0.7088, NDCG = 0.4407.
The best GMF model is saved to Pretrain/ml-1m_GMF_64_1736433535.h5
